Track Name,Track ID,Artists,Artist Count
price tag,2fTsFCKRFQ5M0igJgabnLA,jessie j,2
price tag,2fTsFCKRFQ5M0igJgabnLA,b.o.b,2
calm down with selena gomez,0WtM2NBVQNNJLh6scP13H8,rema,2
calm down with selena gomez,0WtM2NBVQNNJLh6scP13H8,selena gomez,2
aint no other man,7huo2wvrCgRucUsjdSDLQV,christina aguilera,1
gold digger,3QHPHLAkYV5cQBUYs6rowx,kanye west,2
gold digger,3QHPHLAkYV5cQBUYs6rowx,jamie foxx,2
we are never ever getting back together,0VwNdo84DaVYLIkbVO86ND,taylor swift,1
blinding lights,365hbjh0wlAIGOfRW5hdZc,jacob tillberg,1
bad romance,0SiywuOBRcynK0uKGWdCnn,lady gaga,1
idgaf,5fHNot2sHBsTUMqaGQlksX,dua lipa,1
flowers,1FvOiE8MGWB8MUCAPvro3h,jacob tillberg,1
it aint me with selena gomez,3eR23VReFzcdmS7TYCrhCe,kygo,2
it aint me with selena gomez,3eR23VReFzcdmS7TYCrhCe,selena gomez,2
thinking out loud,34gCuhDGsG4bRPIf9bb02f,ed sheeran,1
what the hell,2z4U9d5OAA4YLNXoCgioxo,avril lavigne,1
cake by the ocean,76hfruVvmfQbw0eYn1nmeC,dnce,1
et,05PNBWOlexyIehkrSmvZSY,katy perry,1
animals,2bL2gyO6kBdLkNSkxXNh6x,maroon 5,1
training season,6Qb7YsAqH4wWFUMbGsCpap,dua lipa,1
what makes you beautiful,4cluDES4hQEUhmXj6TXkSo,one direction,1
im not the only one,7795WJLVKJoAyVoOtCWqXN,sam smith,1
stockholm,198asGCZWwoQVdLxYSlPTx,jubël,1
poy point of you,1PCJLKibpFnXhuwXvg8fsE,samy omari,1
water,5aIVCx5tnk0ntmdiinnYvw,tyla,1
its ok im ok,24XihnoVPWXlKJ4BgXqjVM,tate mcrae,1
espresso,2qSkIjg1o9h3YT9RAgYN75,sabrina carpenter,1
teenage dream,55qBw1900pZKfXJ6Q9A2Lc,katy perry,1
bye,1Rweq7vNjK4kZBbGrmxQsl,ariana grande,1
7 rings,6ocbgoVGwYJhOv1GgI9NsF,ariana grande,1
how you get the girl taylors version,75W3SngKzTuoQ94uLf3y82,taylor swift,1
naturally,1YaVmBh7EAeR54FIjuFcb5,selena gomez & the scene,1
hurricane,7gQ5c5HY6zMsIck6QLY9dJ,bridgit mendler,1
close to you,5wbg8kepMFoMzHOEuxiI0q,gracie abrams,1
